id;region;ville;commune;latitude;longitude
1;géométrique personnel avertir;sans que oups égoïste;oups afin que ainsi;2387.63;16802.64
2;étonner consentir;animer;biathlète lors de hi;25097.11;829.6
3;habiller;euh certes;areu areu vétuste;24908.79;15144.7
4;grâce à blême sur;sitôt que;pis vraisemblablement;2551.78;20345.6
5;tant soit adepte;à côté de tranquille délégation;alors que;10625.52;22257.99
6;méconnaître;drelin;spécialiste électorat en plus de;16996.79;20148.9
7;malgré considérable;collègue quoique de crainte que;quoique;21218.03;12368.98
8;d'avec changer à la merci;mélancolique membre à vie tout à fait;en face de gai diététiste;5226.11;8390.6
9;soudain;afin que;recouvrir aboutir gigantesque;13619.2;20051.42
10;circulaire;gens main-d’œuvre;secouriste police toutefois;12985.5;10525.54
