id;libelle;description;etat;recommandation;code
1;pacifique touriste lunatique;../fake-data/blob/hipster.txt;de peur que divinement;../fake-data/blob/hipster.txt;1421
2;sale coac coac;../fake-data/blob/hipster.txt;atteindre;../fake-data/blob/hipster.txt;21909
3;vroum;../fake-data/blob/hipster.txt;d'entre;../fake-data/blob/hipster.txt;5203
4;infime espiègle;../fake-data/blob/hipster.txt;délectable vu que;../fake-data/blob/hipster.txt;31163
5;à l'exception de chef de cuisine pschitt;../fake-data/blob/hipster.txt;police semer pin-pon;../fake-data/blob/hipster.txt;13133
6;extra immense;../fake-data/blob/hipster.txt;au cas où bzzz;../fake-data/blob/hipster.txt;9396
7;jusqu’à ce que à bas de;../fake-data/blob/hipster.txt;considérable du moment que groin groin;../fake-data/blob/hipster.txt;24504
8;à défaut de ;../fake-data/blob/hipster.txt;extra;../fake-data/blob/hipster.txt;23524
9;novice bien;../fake-data/blob/hipster.txt;certainement;../fake-data/blob/hipster.txt;1266
10;malade immense;../fake-data/blob/hipster.txt;subito;../fake-data/blob/hipster.txt;20062
