id;statut_ont;date_diagnostic;type_diagnostic;debit_up;debit_down;power_ont;power_olt
1;ACTIF;2024-04-22;AUTOMATIQUE;ci;soupçonner en dedans de;naguère;tantôt dring
2;ACTIF;2024-04-22;MANUEL;abriter groin groin;déborder spécialiste;magnifique;à peu près lectorat
3;INACTIF;2024-04-22;MANUEL;grrr;coin-coin coin-coin;si bien que;équipe peindre par rapport à
4;ACTIF;2024-04-22;AUTOMATIQUE;vétuste sous couleur de;cocorico secouriste;réussir avare;pouvoir
5;INACTIF;2024-04-22;AUTOMATIQUE;moins suffisamment;tsoin-tsoin;dynamique;dévorer
6;INACTIF;2024-04-22;AUTOMATIQUE;de manière à ce que diplomate pff;moderne gens bzzz;oh;touriste présidence apte
7;INACTIF;2024-04-22;MANUEL;derrière comme;géométrique;en brusque;adhérer zzzz
8;INACTIF;2024-04-22;MANUEL;distinguer simple;clientèle sans que;ha;aboutir population du Québec
9;ACTIF;2024-04-21;AUTOMATIQUE;même si horrible approximativement;minuscule hebdomadaire après;vis-à-vie de tant concernant;aider glouglou
10;ACTIF;2024-04-21;MANUEL;aux alentours de vroum;assez à demi quoique;neutre écarter d’autant que;ouin cocorico
