id;olt_power;ont_power;created_at
1;joliment;toc-toc;2024-04-22
2;dessus exécuter;immense population du Québec aigre;2024-04-22
3;reconstituer précipiter ronron;apparemment;2024-04-22
4;fade timide;snob déranger ronron;2024-04-22
5;concurrence population du Québec;honorer chef de cuisine;2024-04-21
6;délectable dans la mesure où concurrence;en outre de tant que du fait que;2024-04-22
7;svelte;super sans affable;2024-04-21
8;disposer toc;entre de peur que rectangulaire;2024-04-21
9;avare hormis insipide;avant que alors que correspondre;2024-04-21
10;à bas de rôder tchou tchouu;guide coucher groin groin;2024-04-22
