id;libelle;ip;vendeur;type_equipment;code_equipment;adresse;emplacement;type_carte;latitude;longitude;capacite;etat;created_at;updated_at
1;prier reproduire à l'égard de;à demi sans;insulter;tantôt allonger à force de;ouah de façon à ce que bzzz;zzzz;rédaction;parfois de peur que alors;suivant à condition que;chef demain;bon selon;lâche tard;2024-04-22;2024-04-22
2;de manière à ce que horrible biathlète;drelin profiter jeune;ouille;encore;à cause de;blablabla lire;patientèle;hystérique porte-parole;fourbe;avant que tout à fait d’autant que;foule énorme;grâce à;2024-04-22;2024-04-22
3;meuh correspondre après;raide;à cause de dehors du fait que;ah;diplomate;au défaut de en dépit de;dans afin de biathlète;adepte contre;toutefois;parlementaire;fonctionnaire électorat fort;aujourd'hui;2024-04-21;2024-04-22
4;gai;adversaire toujours ding;faciliter sans doute comme;depuis vorace;autour à même effrayer;derechef préserver;depuis équipe de recherche dans;grâce à à l'égard de;candide ouille police;triangulaire d'après;alors que anéantir vivace;rédaction;2024-04-22;2024-04-21
5;jusqu’à ce que même diététiste;derrière;depuis dans la mesure où augmenter;incalculable derechef arrière;tchou tchouu frapper secouriste;miam tant;détester affable;gens miam;à condition que;de façon à ce que;areu areu en dehors de;dans la mesure où vers;2024-04-21;2024-04-22
6;en dehors de sitôt que en faveur de;que ennuyer pour que;psitt trop;terne insolite;mélancolique;blablabla sans doute circulaire;atchoum tard vaste;dormir au-dedans de direction;mairie;gai;tant que devant plouf;à peu près pendant que moyennant;2024-04-22;2024-04-21
7;conseil municipal bien que;du côté de snif;tellement;chez sitôt que coupable;derechef aussitôt que;ouf vouh;faciliter;jusque éprouver précisément;lorsque;vers;pacifique fourbe;même si;2024-04-22;2024-04-21
8;emmerder;apprécier en dépit de;circulaire sauvage;auparavant quand;tandis que céans;perplexe contredire;mélancolique vu que;membre à vie malade;lasser cyan boum;tout jusque;aux alentours de préparer alentour;intégrer;2024-04-21;2024-04-22
9;au-devant honorer;turquoise bien que;du côté de;insipide oh;adepte;du côté de ressusciter;désagréable;diablement deçà suffisamment;rompre;distraire;apprivoiser;tant que;2024-04-22;2024-04-22
10;responsable bzzz ailleurs;chef de cuisine ouah aigre;âcre;pendant que snif concurrence;bang dring attribuer;préparer de sorte que snif;équipe de recherche rapide vivace;de façon que;au défaut de marron;ailleurs;vétuste spécialiste;ouin;2024-04-22;2024-04-22
